,1993/12,1994/12,1995/12,1996/12,1997/12,1998/06,1998/12,1999/06,1999/12,2000/06,2000/12,2001/06,2001/12,2002/06,2002/12,2003/06,2003/12,2004/06,2004/12,2005/06,2005/12,2006/06,2006/12,2007/06,2007/12,2008/06,2008/12,2009/06,2009/12,2010/03,2010/06,2010/09,2010/12,2011/03,2011/06,2011/12,2012/06,2012/09,2012/12
Basic EPS (Continuing),0.06,0.26,0.31,1.56,0.25,0.49,0.25,0.37,0.59,0.62,0.57,0.56,0.51,0.57,0.48,0.71,0.00,0.97,0.98,0.90,0.00,1.34,0.00,1.66,0.00,1.08,0.00,0.00,0.00,0.56,0.70,0.03,0.53,0.55,0.26,0.00,0.00,0.00,0.00
Basic EPS (Discontinued),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Basic EPS (Other Gains/Losses),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Basic EPS (Tax Loss Carry Forward),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Continuing),0.06,0.26,0.31,1.56,0.25,0.49,0.25,0.37,0.59,0.62,0.55,0.56,0.50,0.57,0.47,0.71,0.00,0.97,0.98,0.88,0.00,1.30,0.00,1.61,0.00,1.04,0.00,0.00,0.00,0.56,0.63,0.01,0.50,0.55,0.22,0.00,0.00,0.00,0.00
Diluted EPS (Discontinued),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Extraordinary),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Other Gains/Losses),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00
Diluted EPS (Tax Loss Carry Forward),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividends Paid Per Share (YTD),0.20,0.40,0.45,0.83,0.79,0.48,0.92,0.25,0.56,0.57,0.90,0.61,0.98,0.69,1.13,0.86,1.32,0.02,0.62,1.18,1.83,1.24,2.04,2.05,2.98,1.76,2.65,0.00,0.07,0.09,0.15,0.21,0.27,0.16,0.23,0.36,0.25,0.31,0.38
