,2009/12,2010/03,2010/06,2010/09,2010/12,2011/03,2011/06,2011/09,2011/12,2012/03,2012/06
Basic EPS (Continuing),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.12
Basic EPS (Discontinued),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Basic EPS (Other Gains/Losses),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Basic EPS (Tax Loss Carry Forward),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Continuing),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.12
Diluted EPS (Discontinued),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Extraordinary),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Other Gains/Losses),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Tax Loss Carry Forward),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividends Paid Per Share (YTD),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
acquisitions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.4,354.4,0.0,0.0
basic earnings indicator,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
capital lease obligations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash at beginning of period,0.0,0.0,0.0,0.0,526.7,886.9,886.9,886.9,886.9,710.0,710.0
common par,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
common stock equity,0.0,0.0,0.0,0.0,875.3,891.2,903.0,909.2,916.4,925.9,941.1
deferred income taxes,0.0,0.0,0.0,0.0,-0.2,-0.7,-3.8,-0.7,-15.0,1.8,-2.8
earnings period indicator,F,Q,S,N,F,Q,S,N,F,Q,S
income from tax loss carryforward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
income taxes,0.0,0.0,0.0,0.0,-0.1,0.4,0.2,2.0,1.9,3.9,3.9
minority interest,0.0,0.0,0.0,0.0,5.9,49.1,48.7,76.7,74.5,75.2,76.6
number of employees,None,None,None,None,None,None,None,None,None,None,None
number of part-time employees,None,None,None,None,None,None,None,None,None,None,None
other equity adjustments,0.0,0.0,0.0,0.0,-2.8,-0.1,6.6,7.7,7.2,5.0,10.4
other non-cash items,0.0,0.0,0.0,0.0,-27.4,-29.5,-4.5,-45.4,-155.8,-41.9,24.8
other special charges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.5,-0.3,3.5
preferred dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preferred shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preferred stock equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quarterly indicator,4,1,2,3,4,1,2,3,4,1,2
repayment of long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202.1,-222.0,-147.8,-152.8
restricted cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
retained earnings,0.0,0.0,0.0,0.0,11.9,12.3,13.1,16.0,18.2,23.4,28.9
total ordinary shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treasury shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treasury stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
