,1998/12,1999/06,1999/12,2000/06,2000/12,2001/06,2001/12,2002/06,2002/12,2003/06,2003/12,2004/06,2004/12,2005/06,2005/12,2006/06,2006/12,2007/06,2007/12,2008/06,2008/12,2009/03,2009/06,2009/12,2010/03,2010/06,2010/12,2011/03,2011/06,2011/09,2011/12,2012/03,2012/06,2012/09,2012/12,2013/03
Basic EPS (Continuing),0.00,0.83,0.80,1.05,0.85,1.00,-1.89,0.88,0.00,1.03,0.00,1.45,0.00,1.73,0.00,1.95,0.00,2.38,0.00,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.65,1.60,0.65,0.80,1.70
Basic EPS (Discontinued),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Basic EPS (Other Gains/Losses),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Basic EPS (Tax Loss Carry Forward),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Continuing),0.00,0.83,0.80,1.03,0.85,0.98,-1.85,0.88,0.00,1.00,0.00,1.45,0.00,1.70,0.00,1.93,0.00,2.35,0.00,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.65,1.60,0.65,0.80,1.65
Diluted EPS (Discontinued),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Extraordinary),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Other Gains/Losses),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Tax Loss Carry Forward),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividends Paid Per Share (YTD),0.00,0.00,0.57,1.15,1.98,2.15,3.21,1.61,2.75,1.81,3.01,1.20,2.50,2.00,3.40,2.25,3.75,2.55,4.25,2.80,4.60,0.00,0.90,1.70,0.50,0.90,1.70,0.60,1.05,1.50,1.95,0.70,1.15,1.60,2.05,0.90
acquisitions,0.0,0.0,630.0,"-9,764.0","-9,733.0",-44.0,-883.0,-26.0,-649.0,"-1,191.0","-2,184.0","-1,623.0","-4,732.0",-682.0,"-3,104.0",-213.0,-834.0,-332.0,-436.0,"1,918.0","4,292.0",0.0,-286.0,-386.0,0.0,-235.0,-955.0,0.0,-23.0,0.0,151.0,0.0,"22,222.0",0.0,"20,192.0",0.0
basic earnings indicator,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
capital lease obligations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash at beginning of period,"20,756.0",0.0,"14,203.0","-6,428.0","-2,464.0","1,247.0","6,185.0",-120.0,"4,417.0","2,601.0","3,641.0","-3,743.0",-776.0,"160,956.0","160,956.0","141,307.0","141,307.0","215,486.0","215,486.0","297,009.0","297,009.0",0.0,"278,872.0","278,872.0",0.0,"250,766.0","250,766.0",0.0,"274,076.0",0.0,"274,076.0",0.0,"325,449.0",0.0,"325,449.0",0.0
common par,"3,443.0","3,514.0","4,230.0","4,266.0","4,634.0","4,667.0","4,678.0","4,725.0","4,741.0","5,421.0","5,481.0","5,513.0","5,587.0","5,610.0","5,667.0","5,741.0","5,786.0","5,857.0","5,915.0","6,003.0","6,053.0",0.0,"8,658.0","8,705.0",0.0,"8,755.0","8,843.0",0.0,"8,909.0",0.0,"8,934.0",0.0,"9,081.0",0.0,"9,238.0",0.0
common stock equity,"27,402.0","31,642.0","33,408.0","35,319.0","45,570.0","46,035.0","45,979.0","51,178.0","52,406.0","70,290.0","74,473.0","79,259.0","86,623.0","86,713.0","92,432.0","101,381.0","108,352.0","119,780.0","128,160.0","126,785.0","93,591.0",0.0,"118,355.0","128,299.0",0.0,"135,943.0","147,667.0",0.0,"160,250.0",0.0,"158,725.0","163,708.0","165,845.0","171,630.0","175,242.0","175,339.0"
deferred income taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earnings period indicator,F,S,F,S,F,S,F,S,F,S,F,S,F,S,F,S,F,S,F,S,F,Q,S,F,Q,S,F,Q,S,N,F,Q,S,N,F,Q
income from tax loss carryforward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
income taxes,0.0,551.5,0.0,632.0,0.0,615.0,0.0,658.0,0.0,777.0,0.0,"1,184.0",0.0,"1,329.0",0.0,"1,636.0",0.0,"1,323.0",0.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,"1,385.0","2,244.0",658.0,"1,028.0","1,324.0"
minority interest,"3,185.0","3,356.0","3,655.0","7,350.0","7,309.0","7,351.0","6,490.0","6,605.0","6,553.0","7,748.0","10,881.0","12,455.0","13,194.0","4,968.0","5,794.0","5,989.0","6,576.0","6,711.0","7,256.0","7,226.0","6,638.0",0.0,"6,943.0","7,362.0",0.0,"7,380.0","7,248.0",0.0,"7,287.0",0.0,"7,368.0","7,481.0","7,921.0","8,134.0","7,887.0","8,409.0"
number of employees,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
number of part-time employees,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
