,2002/03,2002/06,2002/09,2002/12,2003/03,2003/06,2003/09,2003/12,2004/03,2004/06,2004/09,2004/12,2005/03,2005/06,2005/09,2005/12,2006/03,2006/06,2006/09,2006/12,2007/03,2007/06,2007/09,2007/12,2008/03,2008/06,2008/09,2008/12,2009/03,2009/06,2009/09,2009/12,2010/03,2010/06,2010/09,2010/12,2011/03,2011/06,2011/09,2011/12,2012/03,2012/06,2012/09,2012/12,2013/03
Basic EPS (Continuing),0.26,-0.12,0.50,-0.21,0.43,0.33,0.50,0.92,0.73,1.02,1.42,0.18,1.49,1.59,2.66,0.83,1.41,0.93,2.29,1.88,2.27,1.88,1.92,1.76,0.20,1.37,-0.24,-3.82,0.01,1.21,2.37,3.95,1.17,1.72,2.48,0.43,1.19,1.67,3.12,1.26,-2.10,4.68,-1.41,-0.28,-1.55
Basic EPS (Discontinued),0.00,0.00,0.03,-0.12,-0.04,0.02,-0.06,0.00,0.00,0.00,-0.01,-0.02,0.02,-0.09,-0.03,-0.01,-0.01,-0.03,0.14,0.03,0.08,-0.06,-0.01,0.02,0.00,-0.01,0.01,0.06,0.00,0.04,-0.01,-0.01,-0.01,0.00,0.02,0.01,0.03,0.03,-0.02,0.04,0.01,0.02,0.00,0.01,0.00
Basic EPS (Other Gains/Losses),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Basic EPS (Tax Loss Carry Forward),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Continuing),0.26,-0.12,0.50,-0.21,0.43,0.33,0.50,0.91,0.72,1.00,1.39,0.18,1.47,1.56,2.61,0.81,1.38,0.92,2.24,1.84,2.27,1.84,1.89,1.73,0.20,1.35,-0.24,-3.81,0.01,1.20,2.36,3.91,1.16,1.70,2.45,0.43,1.17,1.65,3.08,1.25,-2.10,4.62,-1.41,-0.27,-1.55
Diluted EPS (Discontinued),0.00,0.00,0.03,-0.12,-0.04,0.02,-0.06,0.00,0.00,0.00,-0.01,-0.02,0.02,-0.08,-0.02,-0.01,0.00,-0.03,0.14,0.04,0.08,-0.06,-0.01,0.02,0.00,0.00,0.01,0.07,0.00,0.05,-0.01,0.00,-0.01,0.00,0.01,0.01,0.03,0.03,-0.02,0.04,0.01,0.02,0.00,0.00,0.00
Diluted EPS (Extraordinary),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Other Gains/Losses),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diluted EPS (Tax Loss Carry Forward),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividends Paid Per Share (YTD),0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.95,0.00,0.00,0.00,1.15,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.70,0.00,0.00,0.00,1.15,0.00,0.00,0.00,1.45,0.00,0.00,0.00,1.60,0.40
